timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,acc_mag_sq,gyro_mag_sq,label_id
1774611439289,0.4401951,-0.24973679,-0.80678177,-0.12109054,-0.13889356,-0.017686447,0.907037,0.03426715,0
1774611439289,0.3664532,-0.10899067,-0.45835257,-0.09374483,0.01232389,-0.004779671,0.35625398,0.008962817,0
1774611439369,0.17204544,-0.12260723,0.37114,0.048379593,0.10523602,0.010608537,0.18237707,0.013527746,0
1774611439369,0.12385076,-0.16508532,0.70422983,0.11029881,0.03743798,0.031126149,0.53853184,0.014536267,0
1774611439369,0.34863624,-0.27465773,-0.39887142,-0.15409859,-0.04439931,-0.043316808,0.3560825,0.027594019,0
1774611439369,0.76130915,-0.23679066,-0.98134136,-0.38841903,0.076124996,-0.08778273,1.5986923,0.16437016,0
1774611439388,0.49199563,-0.07470274,-0.08132982,-0.35354576,0.1823103,-0.05399196,0.25425476,0.16114677,0
1774611439408,0.07769492,-0.119522095,0.62943363,-0.15812883,0.16389108,-0.051510528,0.41650873,0.054518346,0
1774611439437,0.010722667,-0.19119596,0.8725872,0.046847433,0.06954671,-0.04434935,0.7980793,0.008998292,0
1774611439448,-0.121910095,-0.1388526,0.72091484,0.11321325,-0.0067281774,0.0046630935,0.55386037,0.012884253,0
1774611439467,-0.034578323,-0.08040047,0.047592163,0.02426474,-0.020567572,0.035722625,0.009924909,0.0022879085,0
1774611439486,0.16641626,-0.050061703,-0.30704355,-0.056706548,0.01603771,0.041085184,0.124476284,0.0051608332,0
1774611439507,0.31712857,-0.18671656,-0.10096836,-0.076707885,-0.01871899,0.023815084,0.14562821,0.006801659,0
1774611439536,0.43176135,-0.07900286,0.250206,-0.07549215,-0.03472339,0.03532293,0.25526237,0.008152489,0
1774611439557,0.42237672,-0.09595585,0.160038,-0.02614663,-0.0046630935,0.04994506,0.21322179,0.0031998998,0
1774611439566,0.33625263,-0.12925243,0.2479372,0.033540964,0.020784073,0.04008595,0.19124487,0.0031638574,0
1774611439584,0.22212052,-0.14099312,-0.013792038,0.018402565,0.06618262,0.008027182,0.06940681,0.00478323,0
1774611439607,0.26871502,-0.24373055,-0.13079357,-0.036272205,0.0060786754,-0.0023648546,0.14871931,0.0013582158,0
