timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,acc_mag_sq,gyro_mag_sq,label_id
1774620088424,0.7438383,1.2158456,-0.94923115,-0.43042016,0.06238553,0.06791463,2.9326158,0.19376588,1
1774620088424,0.49559417,1.450922,1.5186906,-0.5593214,-0.07805685,0.101488896,4.6572094,0.3292333,1
1774620088450,-0.16932458,1.498241,2.55587,-0.55387557,-0.06944678,0.17041941,8.805868,0.34064376,1
1774620088461,-0.7771272,1.3289433,3.4855704,-0.57289433,0.018069487,0.1712521,14.519218,0.3578617,1
1774620088483,-0.55615133,0.9701147,3.1463542,-0.71187115,-0.04205111,0.08266998,11.149971,0.51536316,1
1774620088501,-0.69418293,0.7326751,2.700243,-0.78354955,-0.16805455,0.14112519,8.310015,0.66210854,1
1774620088521,-1.8631171,0.6866479,2.6654549,-0.7526566,-0.15476474,0.3921162,11.04734,0.74419916,1
1774620088543,-2.164061,0.80930233,1.8353524,-0.6805951,0.057938933,0.543317,8.706649,0.76176,1
1774620088561,-1.0918422,0.059000015,0.92200184,-0.5431671,0.30658174,0.45833212,2.0456877,0.5990912,1
1774620088581,-0.4609931,-0.66897917,0.9394407,-0.3391068,0.35218012,0.37033287,1.5425966,0.3761707,1
1774620088601,-1.0816996,-0.26035643,1.0774393,-0.20247817,0.38157427,0.47710106,2.398735,0.41422176,1
1774620088621,-1.4968227,0.21937466,0.39640903,-0.1750492,0.32738248,0.6123474,2.4457436,0.51279086,1
1774620088644,-1.0216364,-0.21511173,-0.19600153,-0.19603312,0.2465444,0.6634583,1.1284306,0.53939,1
1774620088660,-0.26880968,-0.8030286,-0.68990993,-0.19798163,0.12888457,0.6375448,1.1930892,0.46227133,1
1774620088681,0.10775921,-1.2993059,-1.0379944,-0.18715659,-0.0351897,0.592879,2.7772403,0.38777143,1
1774620088700,0.03489065,-1.4970422,-1.5084801,-0.1352297,-0.04268396,0.5913802,4.517865,0.36983952,1
1774620088720,-0.09130433,-1.4947076,-2.1929278,-0.007144525,-0.040802065,0.58303654,7.0514193,0.34164745,1
1774620088742,0.024151668,-1.6231432,-2.1283016,0.14637117,-0.024214778,0.5972756,7.164845,0.378749,1
1774620088760,0.16784811,-1.428122,-2.483798,0.13960968,-0.018086141,0.581138,8.2369585,0.35753936,1
1774620088780,0.6443702,-1.2425084,-2.9984083,0.0821204,0.0062618684,0.4985513,10.949493,0.25533637,1
1774620088800,1.1903752,-1.1987777,-2.8362846,0.09589318,0.08611734,0.36153963,10.898572,0.1473226,1
1774620088820,1.4810618,-1.0083237,-2.2120967,0.15066788,0.152683,0.21691711,8.103632,0.09306595,1
1774620088844,1.3967814,-0.53077936,-1.5016966,0.21142133,0.17330053,0.070346095,4.487818,0.07968062,1
1774620088860,1.4344739,-0.0625062,-0.97164154,0.28043512,0.21277028,-0.05544085,3.0057094,0.12698874,1
1774620088880,0.99185383,0.26131535,-0.2490921,0.33081317,0.15596382,-0.12490429,1.1141067,0.14936315,1
1774620088901,0.61804533,0.6628938,0.52975035,0.3279154,-0.010941615,-0.08195387,1.1020436,0.11436466,1
1774620088920,0.10112268,1.1205955,1.0495796,0.29011104,-0.12590352,-0.019068722,2.3675773,0.10037972,1
1774620088942,0.23170821,1.0743966,1.5723343,0.25328925,-0.15931125,-0.061819296,3.680252,0.093357146,1
1774620088961,0.89271307,0.76804686,2.4565344,0.2660628,-0.22739242,-0.22937423,7.421394,0.17510927,1
1774620088979,1.4021956,1.0899038,3.4482126,0.33747473,-0.26549655,-0.33895692,15.044212,0.2992694,1
